название	цена	рейтинг_SW	год	Стилистика вина	Дегустационные характеристики	Гастрономия	Виноградники	Способ выдержки	Способ производства	История этикетки	Это интересно	регион	год	крепость	потенциал хранения	аппелласьон	категория	декантация	выдержка в емкости	подача	сладость	кислотность	танины	тело	комментарии
Вино Col di Sasso	1490.0	3.5	2021.0	красное — легкое, фруктовое, не выдержанное в дубе	Интенсивный рубиново-красный цвет с фиолетовым оттенком. Аромат наполнен тонами ежевики и специй, нотками тмина, шалфея и легкими нюансами кофейных зерен. Сочное, хорошо сбалансированное, округлое во вкусе вино с мягким устойчивым послевкусием.	Великолепно сочетается с легкими мясными закусками, блюдами из белого мяса с овощами, различными сырами.	Санджовезе и каберне собраны с более молодых лоз собственных виноградников, расположенных в разных частях Монтальчино. Почвы преимущественно каменистые, с вкраплением глины.	Непродолжительное время в емкостях из нержавеющей стали.	Виноград собирают во второй половине сентября. Мацерация проводится в течение 5-6 дней при 24-25°C.  Ферментация проходит в емкостях из нержавеющей стали при строгом температурном контроле. Проводится малолактика.		Коль ди Сассо — это красная пара вину «Ле Риме» в базовой линейке компании Банфи. Молодое, яркое и легко пьющееся вино. Если главное вино от королей Монтальчино — брунелло ди монтальчино — создано для особых поводов и частных коллекций, Col di Sasso — это вино на каждый день практически под любую еду.	Тоскана	2021	13%	2-3 года.	Toscana IGT	Indicazione Geografica Tipica (IGT)	аэрация	Нейтральная Емкость	['Мягкий сыр', 'Овощи']	1	3	3	3	['простенько, но со вкусом', 'Отличное вино, не класса скажем АА, но точно А.', 'Абсолютно плоское, пустое и кислое. В Италии оно стоит 2 евро? Ужасное вино для этих денег, да даже и не доят этих (тем более для такой цены за полную бутылку). Ужасное разочарование, не рекомендую', '']
Вино Col di Sasso	1790.0	4.4	2020.0	красное — легкое, фруктовое, не выдержанное в дубе	Вино красивого рубиново-красного цвета с фиолетовым блеском. В ярком аромате раскрываются тона спелой вишни, черных ягод, мокко и специй. Среднетелое, гармоничное и сочное во вкусе с мягким послевкусием.	Великолепно сочетается с легкими мясными закусками, блюдами из белого мяса с овощами, различными сырами.	Санджовезе и каберне собраны с более молодых лоз собственных виноградников, расположенных в разных частях Монтальчино. Почвы преимущественно каменистые, с вкраплением глины.	Непродолжительное время в емкостях из нержавеющей стали.	Виноград собирают во второй половине сентября. Мацерация проводится в течение 5-6 дней при 24-25°C. Ферментация проходит в емкостях из нержавеющей стали при строгом температурном контроле. Проводится малолактика.	"Название вина ""Col di Sasso"" в переводе с итальянского означает ""каменистый холм""."	"Коль ди Сассо – это красная пара вину ""Ле Риме"" в базовой линейке компании Банфи. Молодое, яркое и легко пьющееся вино."	Тоскана	2020	13%	3-5 лет.	Toscana IGT	Indicazione Geografica Tipica (IGT)	аэрация	Нейтральная Емкость	['Мягкий сыр', 'Овощи']	1	3	3	2	['', '', '', '', '', '', '', '', '', '']
Вино Condado de Oriza Roble	1590.0	4.4	2020.0	красное — фруктовое, среднетелое, выдержанное в дубе	Вино яркого пурпурно-рубинового цвета. В аромате насыщенные тона вишни, сливы и лакрицы дополнены сладкими нюансами специй и кофейных зерен. Хорошо сбалансированное, с бархатистыми танинами, свежей кислотностью и тонкими оттенками специй в послевкусии.	Прекрасно в паре с блюдами из ягнёнка, мясными пирогам и сырами Гауда или Манчего.	Расположены в аппелласьоне Рибера дель Дуэро. Почвы преимущественно глина и суглинок.	В течение 6 месяцев в бочках из американского дуба.	Ручной сбор, тщательный триаж (сортировка ягод), предферментационная мацерация в течение 2 дней. Ферментация в ёмкостях из нержавеющей стали при температуре 23-25° C.		Классификация по выдержке долго была для испанцев в приоритете, поэтому эта система отлично выстроена. Она позволяет понять, чего ждать от вина. Чем дольше оно “отдыхает” в бочке, тем более интересным становится. Вина с минимальной выдержкой, напротив, выигрывают за счёт свежести, в которой чувствуется сорт. Категория Roble — это красные с непродолжительной выдержкой в дубе — от 3 до 6 месяцев. Всё ещё молодые, но уже показывают характер — хороши, когда хочется поплотнее, но не слишком.	Кастилия и Леон	2020	13.5%	3-4 года.	Ribera del Duero DO	Denominacion de Origen (DO)	декантация	Бочка	['Выдержанный сыр', 'Паста', 'Ягненок']	1	3	3	3	['за свои деньги очень хорошее вино. немного сладковатое с очень приятным послевкусием', 'Обязательно декантировать 25-30 минут, когда аромат становится более насыщенным', 'Вишня, ваниль, прелые листики. Ощутимая хорошо интегрированная кислотность, обработанные танины. Суперплотности нет, но баланс отлично выдержан. Well done!', 'Хорошее', 'вкусное легкое самодостаточное', 'Отлично!', 'Шикарное вино', '', '', '']
Вино Conde de Lagarinos	2740.0	4.0	2018.0	красное — округлое, фруктовое, среднетелое, не выдержанное в дубе	Вино блестящего рубинового цвета, в аромате которого гармонично сочетаются ноты красных ягод, джема из черной смородины, сладких специй, бальзамика. Отлично структурированное и сбалансированное во вкусе, с выраженными ароматами специй и спелых красных ягод и пикантным пряным послевкусием.	Отлично сочетается с тапас с тунцом и оливками, паштетом из кролика и пастой арабьята.		Непродолжительное время в стальных емкостях.	Виноградное сусло ферментируют при температуре 26 градусов. Перед бутилированием вино фильтруется через специальную мембрану, исключающую проникновение микроорганизмов, что обеспечивает качество и стабильность продукта.		Это вино из DO Рибейра Сакра — зоны “героического виноделия”. Это официальный термин Центра горного виноделия CERVIM. Каменные террасы здесь нависают над реками на высоте до 1000 м под уклоном 45°. Маленькие тележки с виноградом ездят по специальным рельсам, а виноградари работают без страховки. Это единственная зона Галисии, где доминируют красные вина (90%), в основном из менсии. Существует легенда, что менсия — испанский пино нуар, а ее черенки привезли из Франции. Однако учёные давно опровергли этот факт. Это местный автохтонный сорт, а главное его достоинство в “зоне героического виноделия” — умение без проблем расти на скалах и перерождаться в тонкое вино, похожее на пино нуар и каберне фран одновременно.	Галисия	2018	12.5%	5-7 лет.	Ribeira Sacra DO	Denominacion de Origen (DO)	не рекомендуется	Нейтральная Емкость	[]	2	3	3	3	['Обожаю это вино', 'В носу перебродившая ягода, анималистика. Джемовая, пряная, сладкая ароматика. Во рту вишня.', '', '', '', '', '', '', '']
Вино Conde de Lagarinos	2740.0	4.0	2019.0	красное — округлое, фруктовое, среднетелое, не выдержанное в дубе	Вино блестящего рубинового цвета, в аромате которого гармонично сочетаются ноты красных ягод, джема из черной смородины, сладких специй, бальзамика. Отлично структурированное и сбалансированное во вкусе, с выраженными ароматами специй и спелых красных ягод и пикантным пряным послевкусием.	Отлично сочетается с тапас с тунцом и оливками, паштетом из кролика и пастой арабьята.		Непродолжительное время в стальных емкостях.	Виноградное сусло ферментируют при температуре 26 градусов. Перед бутилированием вино фильтруется через специальную мембрану, исключающую проникновение микроорганизмов, что обеспечивает качество и стабильность продукта.		Это вино из DO Рибейра Сакра — зоны “героического виноделия”. Это официальный термин Центра горного виноделия CERVIM. Каменные террасы здесь нависают над реками на высоте до 1000 м под уклоном 45°. Маленькие тележки с виноградом ездят по специальным рельсам, а виноградари работают без страховки. Это единственная зона Галисии, где доминируют красные вина (90%), в основном из менсии. Существует легенда, что менсия — испанский пино нуар, а ее черенки привезли из Франции. Однако учёные давно опровергли этот факт. Это местный автохтонный сорт, а главное его достоинство в “зоне героического виноделия” — умение без проблем расти на скалах и перерождаться в тонкое вино, похожее на пино нуар и каберне фран одновременно.	Галисия	2019	12.5%	5-7 лет.	Ribeira Sacra DO	Denominacion de Origen (DO)	не рекомендуется	Нейтральная Емкость	[]	2	3	3	3	['Обожаю это вино', 'В носу перебродившая ягода, анималистика. Джемовая, пряная, сладкая ароматика. Во рту вишня.', '', '', '', '', '', '', '']
Вино Contrada di San Felice Rosso	1840.0	4.0	2019.0	красное — легкое, фруктовое, не выдержанное в дубе	Вино рубиново-красного цвета с фруктово-ягодным ароматом, в котором тона спелой вишни и красных ягод дополнены тонкими нотками фиалки, а мягкие танины во вкусе сбалансированы хорошей кислотностью.	Вино будет хорошо сочетаться с легкими закусками, овощами на гриле, различными пастами и мясными блюдами.	Виноград собирают с собственных виноградников, расположенных в коммуне Кастельнуово Берарденга на высоте 350-400 метров над уровнем моря. Почвы песчано-глинистые, богатые гравием и известняком.	Непродолжительное время в емкостях из нержавеющей стали.	Виноград собирают вручную во второй половине сентября. Ферментация проводится одновременно с мацерацией при температуре 28-30° C. После завершения алкогольной осуществляется малолактическая ферментация.		В XV в Сиене начали проводить скачки, на которые съезжались представители всех контрад (районов).  В те времена их было 59 — у каждой своя история, мифология и геральдика. Сейчас осталось 17 контрад, 9 их них приезжают в Сиену на исторические скачки. Победу всегда отмечают местным вином. Пару лет назад одна из контрад Сиены обратилась к Сан Феличе с просьбой создать специально для них вино, так и появилось легкое и элегантное Contrada di San Felice.	Тоскана	2019	13.5%	3-4 года.	Toscana IGT	Indicazione Geografica Tipica (IGT)	аэрация	Нейтральная Емкость	['Овощи', 'Паста']	1	3	3	3	['', '', '', '']
Вино Cote de Beaune	11990.0	4.2	2017.0	красное — элегантное, комплексное, выдержанное в дубе	Светлый рубиново-красный цвет. Тонкий аромат с тонами красной смородины, сушеной вишни, клубники, дополненный пряными нотками. Элегантное, с гармоничной кислотностью, шелковистыми танинами и ягодными оттенками в послевкусии.	Прекрасно подойдет к блюдам из утки и пернатой дичи с ягодными соусами.	Для производства этого вина используется как собственный виноград хозяйства Жозеф Друэн, выращенный на глинистых участках недалеко от города Бона, так и закупленный по долгосрочным контрактам с местными виноградарями. Также в это кюве идет урожай с молодых лоз виноградников категории Бон Премье Крю (в том числе со знаменитого участка Кло де Муш).	В течение 12-15 месяцев в дубовых бочках, не более 10% из которых новые.	Урожай собирают вручную в маленькие ящики, триаж проводится в два этапа - непосредственно на винограднике и на винодельне. Мацерация и ферментация занимает 2-3 недели, сусло ферментируют только с помощью природных дрожжей. Для лучшей экстракции чередуют использование пижажа и ремонтажа. После выдержки проводят оклейку и фильтрацию.		На примере Бургундии проще всего объяснить, какое значение французы вкладывают в понятие «терруар». Виноградники региона разделены на маленькие участки - часто не более гектара. При этом вина из одного и того же сорта, но с соседних участков, часто заметно отличаются. Малейшие изменения в составе почв или расположении виноградника сказываются на характере и качестве вина. В понятие «терруар» включают также местные сорта шардоне и пино нуар, которые за многие века прочно срослись с этими почвами и микроклиматом.	Бургундия	2017	13%	5-8 лет.	Cote de Beaune АОС	Appellation d'Origine Controlee (AOC)	аэрация	Бочка	['Утка']	1	3	3	4	['', '', '', '', '', '']
Вино Coteaux Bourguignons Rouge	2640.0	4.6	2020.0	красное — фруктовое, с яркой кислотностью и непродолжительной выдержкой в дубе	Вино яркого светло-рубинового цвета с фиолетовым блеском. Ароматы изобилуют нотками спелой вишни, ежевики, малины, черники и корицы. Среднетелое, сочное и гармоничное во вкусе, с отличной гастрономичной кислотностью, нежными танинами и оттенками ягод и специй в долгом послевкусии.	Прекрасная пара лососю на гриле, курице, свинине с овощами, пицце и молодым сырам.	Виноград собран с нескольких участков аппелласьонов Божоле-Вилляж и Моргон. Почвы гранитные с вкраплением камней и глины.	В течение нескольких месяцев частично в ёмкостях из нержавеющей стали, частично в больших дубовых бочках.	Ручной сбор, бережный триаж (сортировка ягод), частичное гребнеотделение. Традиционная карбоническая ферментация и мацерация в ёмкостях из нержавеющей стали.		"Аппелласьон Кото Бургиньон был создан в 2011 году и объединил виноградники Бургундии от Шабли на севере до южного Божоле. Вина этого AOC могут быть как моносортовыми, так и ассамблированными (в Божоле чаще всего используют пино нуар и гаме). Это кюве – 100% гаме, элегантный и утончённый, продолжающий стилистику ""крюшных"" вин Доминика Пирона, но по значительно более выгодной цене."	Бургундия	2020	13%	4-5 лет.	Coteaux Bourguignons AOC	Appellation d'Origine Controlee (AOC)	не рекомендуется	Бочка	['Курица', 'Рыба', 'Свинина', 'Сыр']	1	3	2	3	['Бургундские вина это топ среди красных вин Франции. Всегда восторг и наслаждение. Но еда должна быть простой и такой же элегантной, чтобы не убить вкус вина, а раскрыть его.', 'Прекрасное молодое вино. Нейтральный вкус', 'Отличное вино! Попробовала его в ресторане и просто влюбилась в него. Аромат слегка дымный, копчёный. Рекомендую к стейку.', 'слабенькое молодое вино (2021?!). гаме лучше оставить Божоле. цена должна быть раза в три ниже.', 'Хороший вечерний Божоле. Легкий, питкий, насыщенный вкус, ароматика подвела (мало!)', 'Легкое! Невероятно изящное', 'Хорошее легкое вино.', 'Прекрасное ароматное легкое вино! Однозначно 5 звезд', 'Легкое молодое. Если любите пино нуар из Бургундии и ищите повседневный вариант, вам зайдёт', 'Лёгкое']
Вино Cotes-du-Rhone Mon Coeur	3490.0	4.4	2019.0	красное — насыщенное, пряное, выдержанное в дубе	У вина красивый тёмно-бордовый цвет с рубиновым блеском. В бокале раскрываются ароматы малины, ежевики, фруктового пирога и лакрицы. Среднетелое, комплексное и хорошо структурированное во вкусе, с гастрономичной кислотностью, шелковистыми танинами и оттенками спелых чёрных ягод и пряностей в долгом послевкусии.	Хорошая пара говядине, тушёной с овощами, фрикаделькам в перечном соусе, холодной телятине с баклажаном и сырам средней выдержки.	Виноград собран с четырёх участков (чаще всего это виноградники в коммунах Венсобр, Визан, Бюиссон и Эстарг). Почвы гранитные, сланцевые, известняковые и песчаные.	В течение 16 месяцев в дубовых бочках, частично новых.	Ручной сбор, тщательный триаж (сортировка ягод), 80% ягод проходит гребнеотделение, часть ягод  идёт на брожение целиком без дробления. Холодная мацерация, ферментация в нейтральных ёмкостях с применением диких дрожжей. Перед розливом вино не фильтруют.		Вино из коллекции Жан-Луи Шав Селексьон. Всегда создаётся из винограда четырёх коммун Северной Роны, и всегда ассамбляж двух сортов – сира и гренаш. Разнится только процент соотношения сортов в зависимости от миллезима.	Долина Роны	2019	14.5%	5-7 лет.	Cotes du Rhone AOC	Appellation d'Origine Controlee (AOC)	аэрация	Бочка	['Говядина', 'Овощи', 'Сыр']	1	3	3	4	['Если вы спрашивали что такое вино с запахом «крови» - это оно!! Не знаю какое соотношение Гренаш к Сира, но скорее всего Гренаш преобладает. Шоколада, кожи и табака не чувствую. Зато сочность чёрных ягод и «кровь»!!! В избытке! Стейк “raw” и вино, созданы друг для друга;)))', 'Очень интересный аромат. Доминируют не фрукты и ягоды, а некий «деревенский» аромат. Для меня это земля, сомелье сказал «скотный двор» и я тоже услышал этот запах. Вкус кисловатый, терпкий, не яркий. Вино не плотное.', 'Недостаточно полный вкус, средне', 'Вкус отличный, запах не понравился', 'Супер!', '', '', '']
Вино Cumaro	6792.0	4.3	2020.0	красное — мощное, насыщенное, выдержанное в дубе	Глубокий рубиновый цвет сопровождается насыщенными ароматами вишни, сливы, табака и древесных ноток. Полнотелое, свежее и яркое во вкусе, с концентрированной текстурой, бархатистыми танинами, живой кислинкой и оттенками фиалки и специй в длительном послевкусии.	Можно порекомендовать к красному мясу слабой прожарки, дичи, выдержанным сырам.	"35 га виноградника ""Сан Лоренцо"" на холме высотой 150 м над уровнем моря. Почвы известняковые."	В течение 14 месяцев в барриках.	Ручной сбор, ферментация в емкостях из нержавеющей стали. Малолактика проводилась.	"Конеро — название горы, по-гречески ""komaros"", и разновидность земляничного дерева, вечнозеленого кустарника, в изобилии растущего на этой горе. Четыре круга на этикетке — символичное изображение плодов этого растения, которое говорит о тесной взаимосвязи между вином и терруаром."	Cumaro — это любимое вино владельца хозяйства Микеле Бернетти. Выдающийся энолог хозяйства Джакомо Таксис в 1980-х сделал ставку на малоизвестный в то время местный сорт монтепульчано и не прогадал. Cumaro стало одним из самых изысканных вин региона Марке и в 2004-м году первым здесь получило статус высшей категории в классификации итальянских вин — Conero Riserva DOCG.	Марке	2020	14%	10-20 лет.	Conero Riserva DOCG	Denominazione di Origine Controllata e Garantita (DOCG)	аэрация	Бочка	['Говядина', 'Утка', 'Выдержанный сыр']	1	4	4	5	['', '', '', '']
